ID,RMSE,MAE,ME,R2,m,kendall_tau,unmatched exp. pKas,"unmatched pred. pKas [2,12]"
xvxzd,"0.68 [0.54, 0.81]","0.58 [0.45, 0.71]","0.24 [-0.01, 0.45]","0.94 [0.88, 0.97]","0.92 [0.84, 1.02]","0.82 [0.68, 0.92]",2,4
gyuhx,"0.73 [0.55, 0.91]","0.59 [0.44, 0.74]","0.03 [-0.23, 0.28]","0.93 [0.88, 0.96]","0.98 [0.90, 1.08]","0.88 [0.80, 0.94]",0,7
xmyhm,"0.79 [0.52, 1.03]","0.56 [0.38, 0.77]","0.13 [-0.14, 0.41]","0.92 [0.85, 0.97]","0.96 [0.86, 1.08]","0.81 [0.68, 0.90]",0,3
nb017,"0.94 [0.72, 1.16]","0.77 [0.58, 0.97]","-0.16 [-0.49, 0.16]","0.88 [0.81, 0.94]","0.94 [0.82, 1.08]","0.73 [0.60, 0.84]",0,6
nb007,"0.95 [0.73, 1.15]","0.78 [0.60, 0.97]","0.05 [-0.29, 0.37]","0.88 [0.77, 0.95]","0.84 [0.77, 0.92]","0.79 [0.65, 0.89]",0,13
yqkga,"1.01 [0.78, 1.23]","0.80 [0.59, 1.03]","-0.17 [-0.51, 0.19]","0.87 [0.78, 0.93]","0.93 [0.77, 1.08]","0.83 [0.72, 0.91]",0,1
nb010,"1.03 [0.77, 1.26]","0.81 [0.61, 1.04]","0.24 [-0.11, 0.59]","0.87 [0.77, 0.94]","0.95 [0.83, 1.08]","0.80 [0.67, 0.90]",0,4
8xt50,"1.07 [0.78, 1.36]","0.81 [0.58, 1.07]","-0.47 [-0.82, -0.14]","0.91 [0.84, 0.95]","1.08 [0.94, 1.22]","0.80 [0.68, 0.89]",0,0
nb013,"1.10 [0.72, 1.47]","0.80 [0.56, 1.09]","-0.15 [-0.55, 0.22]","0.88 [0.78, 0.95]","1.09 [0.90, 1.25]","0.79 [0.64, 0.90]",0,6
nb015,"1.27 [0.98, 1.56]","1.04 [0.80, 1.31]","0.13 [-0.32, 0.56]","0.87 [0.80, 0.93]","1.16 [0.94, 1.34]","0.78 [0.66, 0.86]",0,0
p0jba,"1.31 [0.69, 1.73]","1.08 [0.43, 1.72]","-0.92 [-1.72, -0.11]","0.91 [0.51, 1.00]","1.18 [0.36, 1.72]","0.80 [0.00, 1.00]",0,0
37xm8,"1.41 [0.93, 1.84]","1.01 [0.68, 1.38]","-0.18 [-0.69, 0.32]","0.83 [0.70, 0.93]","1.16 [0.98, 1.33]","0.70 [0.56, 0.83]",1,1
mkhqa,"1.60 [1.13, 2.05]","1.24 [0.90, 1.62]","-0.32 [-0.89, 0.21]","0.80 [0.67, 0.91]","1.14 [0.98, 1.34]","0.64 [0.44, 0.79]",0,6
ttjd0,"1.64 [1.20, 2.06]","1.30 [0.96, 1.67]"," -0.12 [-0.70, 0.45]","0.81 [0.69, 0.91]","1.2 [1.03, 1.40]","0.65 [0.47, 0.80]",0,5
nb001,"1.68 [1.05, 2.37]","1.21 [0.84, 1.68]","0.44 [-0.10, 1.03]","0.80 [0.70, 0.90]","1.16 [0.95, 1.42]","0.72 [0.55, 0.85]",0,7
nb002,"1.70 [1.08, 2.38]","1.25 [0.89, 1.70]","0.51 [-0.04, 1.10]","0.80 [0.70, 0.90]","1.15 [0.95, 1.42]","0.72 [0.56, 0.84]",0,7
35bdm,"1.72 [0.66, 2.34]","1.44 [0.62, 2.26]","-1.01 [-2.18, 0.13]","0.92 [0.46, 1.00]","1.45 [0.73, 2.15]","0.80 [0.00, 1.00]",0,0
ryzue,"1.77 [1.42, 2.12]","1.50 [1.17, 1.84]","1.30 [0.86, 1.72]","0.91 [0.86, 0.95]","1.23 [1.06, 1.41]","0.82 [0.71, 0.91]",0,0
2ii2g,"1.80 [1.31, 2.24]","1.39 [1.01, 1.82]","-0.74 [-1.29, -0.15]","0.79 [0.65, 0.89]","1.15 [0.96, 1.37]","0.68 [0.59, 0.82]",0,2
mpwiy,"1.82 [1.39, 2.23]","1.48 [1.14, 1.88]","0.10 [-0.54, 0.73]","0.82 [0.70, 0.91]","1.29 [1.12, 1.51]","0.66 [0.49, 0.80]",0,5
5byn6,"1.89 [1.50, 2.27]","1.59 [1.24, 1.97]","1.32 [0.84, 1.80]","0.91 [0.85, 0.95]","1.28 [1.10, 1.48]","0.83 [0.72, 0.92]",0,0
y75vj,"1.90 [1.50, 2.26]","1.58 [1.21, 1.97]","1.04 [0.46, 1.60]","0.89 [0.79, 0.95]","1.34 [1.16, 1.53]","0.75 [0.57, 0.88]",1,0
w4iyd,"1.93 [1.53, 2.28]","1.58 [1.20, 1.98]","1.26 [0.72, 1.76]","0.85 [0.74, 0.92]","1.21 [1.00, 1.4.0]","0.73 [0.57, 0.85]",0,1
np6b4,"1.94 [1.21, 2.71]","1.44 [1.04, 1.94]","-0.47 [-1.08, 0.24]","0.71 [0.60, 0.87]","1.08 [0.81, 1.43]","0.75 [0.62, 0.86]",0,8
nb004,"2.01 [1.38, 2.63]","1.57 [1.16, 2.04]","0.56 [-0.10, 1.27]","0.82 [0.72, 0.90]","1.35 [1.15, 1.60]","0.71 [0.54, 0.84]",0,5
nb003,"2.01 [1.39, 2.64]","1.58 [1.18, 2.04]","0.52 [-0.14, 1.22]","0.82 [0.73, 0.91]","1.36 [1.16, 1.61]","0.71 [0.54, 0.84]",0,5
yc70m,"2.03 [1.73, 2.33]","1.80 [1.48, 2.13]","-0.41 [-1.09, 0.31]","0.47 [0.28, 0.64]","0.56 [0.35, 0.83]","0.53 [0.35, 0.68]",0,27
hytjn,"2.16 [1.24, 3.06]","1.39 [0.86, 2.04]","0.71 [0.03, 1.48]","0.45 [0.13, 0.78]","0.62 [0.26, 1.00]","0.47 [0.16, 0.73]",1,27
f0gew,"2.18 [1.38, 2.95]","1.58 [1.09, 2.16]","-0.73 [-1.42, 0.04]","0.77 [0.67, 0.89]","1.29 [1.01, 1.63]","0.76 [0.63, 0.86]",0,0
q3pfp,"2.19 [1.33, 3.09]","1.51 [0.99, 2.13]","0.59 [-0.10, 1.37]","0.44 [0.13, 0.77]","0.66 [0.27, 1.07]","0.50 [0.20, 0.75]",1,22
ds62k,"2.22 [1.62, 2.81]","1.78 [1.34, 2.27]","0.78 [0.06, 1.52]","0.82 [0.70, 0.90]","1.41 [1.20, 1.63]","0.72 [0.55, 0.85]",0,4
xikp8,"2.35 [1.94, 2.73]","2.06 [1.66, 2.47]","0.77 [-0.02, 1.58]","0.89 [0.80, 0.95]","1.59 [1.40, 1.81]","0.76 [0.59, 0.89]",1,0
nb005,"2.38 [1.79, 2.95]","1.91 [1.44, 2.43]","0.31 [-0.49, 1.15]","0.84 [0.74, 0.91]","1.56 [1.34, 1.82]","0.71 [0.54, 0.83]",0,0
5nm4j,"2.45 [1.42, 3.34]","1.58 [0.94, 2.34]","0.05 [-0.80, 1.07]","0.19 [0.00, 0.70]","0.40 [-0.06, 0.81]","0.34 [-0.04, 0.67]",4,1
ad5pu,"2.54 [1.68, 3.30]","1.83 [1.24, 2.49]","-0.65 [-1.48, 0.25]","0.76 [0.64, 0.88]","1.43 [1.12, 1.78]","0.77 [0.63, 0.88]",0,0
pwn3m,"2.60 [1.45, 3.53]","1.54 [0.83, 2.37]","0.79 [-0.06, 1.77]","0.21 [0.00, 0.63]","0.37 [0.01, 0.78]","0.34 [0.04, 0.63]",1,3
nb006,"2.98 [2.37, 3.56]","2.53 [2.00, 3.10]","0.42 [-0.60, 1.47]","0.84 [0.74, 0.92]","1.78 [1.55, 2.06]","0.71 [0.54, 0.84]",0,0
0hxtm,"3.26 [1.81, 4.39]","1.92 [1.03, 2.98]","1.38 [0.37, 2.56]","0.08 [0.00, 0.48]","0.28 [-0.17, 0.83]","0.29 [-0.04, 0.61]",3,7